SUBJECT,LABEL,DICE,HDRFDST,normalization,bias_correction,skull_stripping,registration,postprocessing,coordinates_feature,intensity_feature,gradient_intensity_feature
118730-PP,GreyMatter,0.6848021732096303,3.7416573867739413,True,True,True,True,True,True,True,True
118730-PP,Hippocampus,0.4831110850026435,10.488088481701515,True,True,True,True,True,True,True,True
118730-PP,Amygdala,0.513554336592734,11.045361017187261,True,True,True,True,True,True,True,True
118730-PP,Thalamus,0.7345747268786766,15.264337522473747,True,True,True,True,True,True,True,True
117122-PP,WhiteMatter,0.8258977291414391,2.8284271247461903,True,True,True,True,True,True,True,True
117122-PP,GreyMatter,0.6673577830884304,3.7416573867739413,True,True,True,True,True,True,True,True
117122-PP,Hippocampus,0.5573232737411842,12.206555615733702,True,True,True,True,True,True,True,True
117122-PP,Amygdala,0.4378043747420553,12.206555615733702,True,True,True,True,True,True,True,True
117122-PP,Thalamus,0.7581731856206195,11.357816691600547,True,True,True,True,True,True,True,True
120111-PP,WhiteMatter,0.8488593072182525,2.8284271247461903,True,True,True,True,True,True,True,True
120111-PP,GreyMatter,0.6686224365648546,3.605551275463989,True,True,True,True,True,True,True,True
120111-PP,Hippocampus,0.4990384055014861,10.04987562112089,True,True,True,True,True,True,True,True
120111-PP,Amygdala,0.4899096385542169,8.94427190999916,True,True,True,True,True,True,True,True
120111-PP,Thalamus,0.7046135654726713,16.401219466856727,True,True,True,True,True,True,True,True
122620-PP,WhiteMatter,0.818477415143863,2.23606797749979,True,True,True,True,True,True,True,True
122620-PP,GreyMatter,0.6904180049490312,3.7416573867739413,True,True,True,True,True,True,True,True
122620-PP,Hippocampus,0.5204568199211161,12.727922061357855,True,True,True,True,True,True,True,True
122620-PP,Amygdala,0.5297540538443634,12.649110640673518,True,True,True,True,True,True,True,True
122620-PP,Thalamus,0.75496344997621,13.92838827718412,True,True,True,True,True,True,True,True
124422-PP,WhiteMatter,0.8111931070718883,2.0,True,True,True,True,True,True,True,True
124422-PP,GreyMatter,0.664061701701538,3.605551275463989,True,True,True,True,True,True,True,True
124422-PP,Hippocampus,0.5339509935389491,9.9498743710662,True,True,True,True,True,True,True,True
124422-PP,Amygdala,0.5624034599938215,10.344080432788601,True,True,True,True,True,True,True,True
124422-PP,Thalamus,0.789462982626573,13.638181696985855,True,True,True,True,True,True,True,True
118528-PP,WhiteMatter,0.8297677118540919,2.449489742783178,True,True,True,True,True,True,True,True
118528-PP,GreyMatter,0.6786789348450127,3.7416573867739413,True,True,True,True,True,True,True,True
118528-PP,Hippocampus,0.5489884064560128,12.727922061357855,True,True,True,True,True,True,True,True
118528-PP,Amygdala,0.4320488363220145,13.2664991614216,True,True,True,True,True,True,True,True
118528-PP,Thalamus,0.7362131778911211,14.45683229480096,True,True,True,True,True,True,True,True
123117-PP,WhiteMatter,0.8488659441573307,2.8284271247461903,True,True,True,True,True,True,True,True
123117-PP,GreyMatter,0.6826214933137907,4.0,True,True,True,True,True,True,True,True
123117-PP,Hippocampus,0.5481481481481482,11.357816691600547,True,True,True,True,True,True,True,True
123117-PP,Amygdala,0.4909295231979451,12.165525060596439,True,True,True,True,True,True,True,True
123117-PP,Thalamus,0.721242879337131,16.06237840420901,True,True,True,True,True,True,True,True
122317-PP,WhiteMatter,0.8432465102945057,2.449489742783178,True,True,True,True,True,True,True,True
122317-PP,GreyMatter,0.682508527596133,3.4641016151377544,True,True,True,True,True,True,True,True
122317-PP,Hippocampus,0.5208492333310206,11.090536506409418,True,True,True,True,True,True,True,True
122317-PP,Amygdala,0.5256496793790078,12.165525060596439,True,True,True,True,True,True,True,True
